City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Port Blair,IN,74.7,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
2,Busselton,AU,68.0,broken clouds,-33.65,115.3333,Observatory Guest House
6,Camacha,PT,60.8,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
7,Punta Arenas,CL,55.4,light rain,-53.15,-70.9167,Hotel Dreams Del Estrecho
9,Bredasdorp,ZA,62.6,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
10,Georgetown,MY,75.2,few clouds,5.4112,100.3354,Cititel Penang
12,Mataura,NZ,61.41,overcast clouds,-46.1927,168.8643,Ellie's Villa
13,Victoria,HK,66.0,broken clouds,22.2855,114.1577,Mini Hotel Central
17,Saint George,US,52.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
18,Esmeraldas,BR,77.0,clear sky,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
21,Saint-Philippe,RE,78.8,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
23,Hermanus,ZA,59.0,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
25,Vaini,TO,82.4,moderate rain,-21.2,-175.2,Keleti Beach Resort
26,Guerrero Negro,MX,61.95,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
27,Cockburn Town,TC,77.0,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
29,Kikwit,CD,70.65,overcast clouds,-5.041,18.8162,Guest L'Amour
31,Nishihara,JP,66.2,scattered clouds,26.1842,127.7558,Minshuku Agaihama
33,Isangel,VU,80.31,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
35,Bluff,NZ,58.71,moderate rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
36,Bengkulu,ID,76.96,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
37,Coquimbo,CL,64.4,clear sky,-29.9533,-71.3436,Hotel San Juan
38,Pisco,PE,73.4,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
39,Cape Town,ZA,66.0,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
40,Hilo,US,78.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
41,Carnarvon,AU,77.0,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
43,Kapaa,US,77.0,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
44,Ushuaia,AR,57.2,light rain,-54.8,-68.3,Albatros Hotel
45,Bure,ET,55.45,scattered clouds,10.7,37.0667,Holiday
46,Nouakchott,MR,66.2,broken clouds,18.0858,-15.9785,Hôtel Iman
47,Ballina,AU,77.0,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
50,Hobart,AU,77.0,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
52,Jardim,BR,74.64,moderate rain,-21.4803,-56.1381,Hotel Estância
54,Champerico,GT,86.0,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
55,Rikitea,PF,79.38,clear sky,-23.1203,-134.9692,Pension Maro'i
58,Cidreira,BR,76.48,clear sky,-30.1811,-50.2056,Hotel Castelo
60,Itaituba,BR,80.6,few clouds,-4.2761,-55.9836,Hotel Campos
62,Faanui,PF,81.39,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
64,Lebu,CL,59.79,clear sky,-37.6167,-73.65,Hostal Las Lilas
65,Ukiah,US,57.2,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
