City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Blair,IN,11.6667,92.75,74.7,70,39,7.7,scattered clouds
1,Jamestown,US,42.097,-79.2353,21.0,86,90,8.05,light snow
2,Busselton,AU,-33.65,115.3333,68.0,81,65,1.99,broken clouds
3,Rorvik,NO,64.8621,11.2373,22.32,96,100,12.97,overcast clouds
4,Krasnoselkup,RU,65.7,82.4667,-42.21,75,0,6.22,clear sky
5,Mabaruma,GY,8.2,-59.7833,73.29,90,96,3.27,overcast clouds
6,Camacha,PT,33.0833,-16.3333,60.8,88,20,6.38,few clouds
7,Punta Arenas,CL,-53.15,-70.9167,55.4,58,75,16.11,light rain
8,Adrar,MR,20.5022,-10.0711,63.59,22,43,8.25,scattered clouds
9,Bredasdorp,ZA,-34.5322,20.0403,62.6,82,96,5.75,overcast clouds
10,Georgetown,MY,5.4112,100.3354,75.2,94,20,1.14,few clouds
11,Abu Samrah,SY,35.3029,37.1841,39.34,68,30,7.4,scattered clouds
12,Mataura,NZ,-46.1927,168.8643,61.41,55,97,13.2,overcast clouds
13,Victoria,HK,22.2855,114.1577,66.0,90,55,1.99,broken clouds
14,Aklavik,CA,68.2191,-135.0107,-2.2,84,75,6.91,broken clouds
15,Portland,US,45.5234,-122.6762,46.99,57,20,2.86,few clouds
16,Luderitz,NA,-26.6481,15.1594,71.71,42,92,27.47,overcast clouds
17,Saint George,US,37.1041,-113.5841,52.0,40,1,6.91,clear sky
18,Esmeraldas,BR,-19.7625,-44.3139,77.0,53,0,8.05,clear sky
19,Norden,DE,53.6,7.2,33.01,87,100,4.56,overcast clouds
20,Yar-Sale,RU,66.8333,70.8333,-40.56,81,15,0.18,few clouds
21,Saint-Philippe,RE,-21.3585,55.7679,78.8,69,90,5.75,overcast clouds
22,Pevek,RU,69.7008,170.3133,-14.17,89,100,7.43,overcast clouds
23,Hermanus,ZA,-34.4187,19.2345,59.0,94,78,12.68,broken clouds
24,Tiksi,RU,71.6872,128.8694,-41.26,79,35,4.54,scattered clouds
25,Vaini,TO,-21.2,-175.2,82.4,83,75,8.05,moderate rain
26,Guerrero Negro,MX,27.9769,-114.0611,61.95,58,75,13.15,broken clouds
27,Cockburn Town,TC,21.4612,-71.1419,77.0,73,40,4.61,scattered clouds
28,Anadyr,RU,64.75,177.4833,-18.0,69,0,8.95,clear sky
29,Kikwit,CD,-5.041,18.8162,70.65,89,100,1.25,overcast clouds
30,Yellowknife,CA,62.456,-114.3525,-18.4,76,20,3.09,few clouds
31,Nishihara,JP,26.1842,127.7558,66.2,68,40,18.41,scattered clouds
32,Torbay,CA,47.6666,-52.7314,26.01,86,90,12.66,overcast clouds
33,Isangel,VU,-19.55,169.2667,80.31,81,100,5.93,overcast clouds
34,Liaocheng,CN,36.4439,115.9647,37.06,70,100,3.38,overcast clouds
35,Bluff,NZ,-46.6,168.3333,58.71,73,74,30.85,moderate rain
36,Bengkulu,ID,-3.8004,102.2655,76.96,80,96,5.59,overcast clouds
37,Coquimbo,CL,-29.9533,-71.3436,64.4,77,0,9.22,clear sky
38,Pisco,PE,-13.7,-76.2167,73.4,68,0,17.27,clear sky
39,Cape Town,ZA,-33.9258,18.4232,66.0,63,20,14.97,few clouds
40,Hilo,US,19.7297,-155.09,78.8,61,90,10.36,light rain
41,Carnarvon,AU,-24.8667,113.6333,77.0,57,90,13.8,overcast clouds
42,Saint Anthony,US,45.0205,-93.218,18.0,79,90,9.22,light snow
43,Kapaa,US,22.0752,-159.319,77.0,83,90,13.8,light rain
44,Ushuaia,AR,-54.8,-68.3,57.2,44,40,16.11,light rain
45,Bure,ET,10.7,37.0667,55.45,78,29,3.6,scattered clouds
46,Nouakchott,MR,18.0858,-15.9785,66.2,10,54,9.22,broken clouds
47,Ballina,AU,-28.8667,153.5667,77.0,61,90,2.3,overcast clouds
48,Gamba,GA,-2.65,10.0,76.53,88,96,3.29,light rain
49,Nome,US,64.5011,-165.4064,32.0,93,90,4.61,light snow
50,Hobart,AU,-42.8794,147.3294,77.0,60,75,5.75,broken clouds
51,Udachnyy,RU,66.4167,112.4,-39.28,79,83,3.31,broken clouds
52,Jardim,BR,-21.4803,-56.1381,74.64,88,100,2.53,moderate rain
53,Halifax,CA,44.6453,-63.5724,26.6,80,72,8.05,broken clouds
54,Champerico,GT,14.3,-91.9167,86.0,62,40,6.91,scattered clouds
55,Rikitea,PF,-23.1203,-134.9692,79.38,63,0,7.18,clear sky
56,Hofn,IS,64.2539,-15.2082,33.55,85,100,25.95,overcast clouds
57,Arman,RU,59.7,150.1667,-14.19,79,36,9.17,scattered clouds
58,Cidreira,BR,-30.1811,-50.2056,76.48,83,0,20.6,clear sky
59,Clyde River,CA,70.4692,-68.5914,-9.4,92,1,5.75,clear sky
60,Itaituba,BR,-4.2761,-55.9836,80.6,83,20,5.75,few clouds
61,Chokurdakh,RU,70.6333,147.9167,-37.19,83,85,7.29,overcast clouds
62,Faanui,PF,-16.4833,-151.75,81.39,72,1,12.57,clear sky
63,Albany,US,42.6001,-73.9662,18.0,55,0,1.99,clear sky
64,Lebu,CL,-37.6167,-73.65,59.79,84,3,18.54,clear sky
65,Ukiah,US,39.1502,-123.2078,57.2,47,1,9.22,clear sky
66,Alanya,TR,36.5438,31.9998,46.4,76,20,6.91,few clouds
67,Puerto Ayora,EC,-0.7393,-90.3518,77.0,94,58,1.99,broken clouds
68,Palmer,US,42.1584,-72.3287,19.99,55,0,1.99,clear sky
69,Fortuna,US,40.5982,-124.1573,51.01,76,20,14.97,few clouds
70,Brownfield,US,33.1812,-102.2744,57.0,70,49,1.01,scattered clouds
71,East London,ZA,-33.0153,27.9116,72.0,80,83,24.67,light rain
72,Upernavik,GL,72.7868,-56.1549,21.36,83,96,7.76,overcast clouds
73,Avarua,CK,-21.2078,-159.775,86.0,66,20,10.36,few clouds
74,Port Elizabeth,ZA,-33.918,25.5701,68.0,83,20,14.97,light rain
75,Flinders,AU,-34.5833,150.8552,93.0,37,0,8.05,clear sky
76,Arraial Do Cabo,BR,-22.9661,-42.0278,75.97,86,42,16.78,scattered clouds
77,Pangnirtung,CA,66.1451,-65.7125,15.57,79,27,2.64,scattered clouds
78,Kavaratti,IN,10.5669,72.642,81.0,73,56,10.09,broken clouds
79,Ostrovnoy,RU,68.0531,39.5131,2.44,91,100,12.95,overcast clouds
80,Shingu,JP,33.7333,135.9833,51.8,93,75,9.22,light rain
81,New Norfolk,AU,-42.7826,147.0587,77.0,41,44,3.0,scattered clouds
82,Tautira,PF,-17.7333,-149.15,84.0,69,75,6.91,broken clouds
83,Port Hedland,AU,-20.3167,118.5667,89.6,43,2,17.27,clear sky
84,Hervey Bay,AU,-25.2986,152.8535,84.99,47,90,14.97,overcast clouds
85,The Valley,AI,18.217,-63.0578,78.8,78,20,5.75,few clouds
86,Manzhouli,CN,49.6,117.4333,2.84,90,97,3.18,overcast clouds
87,Qaanaaq,GL,77.484,-69.3632,16.12,78,96,0.6,overcast clouds
88,Aswan,EG,24.0934,32.907,56.41,35,0,10.2,clear sky
89,Hambantota,LK,6.1241,81.1185,71.6,100,6,6.91,clear sky
90,Shache,CN,38.4167,77.2406,18.86,67,3,2.53,clear sky
91,Hithadhoo,MV,-0.6,73.0833,81.14,72,87,3.98,light rain
92,Lagoa,PT,39.05,-27.9833,60.94,94,100,23.96,light rain
93,Amapa,BR,1.0,-52.0,72.45,98,81,3.13,light rain
94,Ghatanji,IN,20.1333,78.3167,66.85,51,0,2.04,clear sky
95,Xichang,CN,27.8964,102.2634,43.18,72,53,0.96,broken clouds
96,Thompson,CA,55.7435,-97.8558,-13.0,77,90,9.22,light snow
97,Radomsko,PL,51.0671,19.4448,35.01,92,100,4.99,overcast clouds
98,Lorengau,PG,-2.0226,147.2712,85.05,62,75,2.55,broken clouds
99,Hokitika,NZ,-42.7167,170.9667,57.61,69,100,4.34,overcast clouds
100,Dikson,RU,73.5069,80.5464,-16.55,90,85,6.85,overcast clouds
101,Clovis,US,36.8252,-119.7029,55.0,54,40,13.8,scattered clouds
102,Buala,SB,-8.145,159.5921,85.64,58,92,4.9,overcast clouds
103,Caravelas,BR,-17.7125,-39.2481,75.33,82,56,5.14,broken clouds
104,Kavieng,PG,-2.5744,150.7967,84.72,68,93,7.45,overcast clouds
105,Port Augusta,AU,-32.5,137.7667,102.2,13,100,17.27,overcast clouds
106,Dongsheng,CN,39.8161,109.9776,20.7,91,0,3.31,clear sky
107,Tocopilla,CL,-22.092,-70.1979,70.29,60,11,7.96,few clouds
108,Havre-Saint-Pierre,CA,50.2334,-63.5986,26.6,93,90,12.66,light snow
109,Atuona,PF,-9.8,-139.0333,78.15,80,6,18.37,clear sky
110,Creel,MX,27.75,-107.6333,46.6,54,7,15.68,clear sky
111,Kununurra,AU,-15.7667,128.7333,82.4,89,100,1.14,overcast clouds
112,Tasiilaq,GL,65.6145,-37.6368,15.8,48,39,1.14,scattered clouds
113,Butaritari,KI,3.0707,172.7902,79.99,80,72,9.44,broken clouds
114,Lazaro Cardenas,MX,17.9583,-102.2,79.93,70,97,4.45,overcast clouds
115,Zeerust,ZA,-25.5369,26.0751,68.0,60,83,4.61,broken clouds
116,Kieta,PG,-6.2167,155.6333,84.52,58,99,6.13,overcast clouds
117,Kijang,KR,35.2442,129.2139,50.0,53,75,8.05,broken clouds
118,Zaysan,KZ,47.4667,84.8667,3.51,83,85,4.54,light snow
119,Khatanga,RU,71.9667,102.5,-26.28,85,100,10.78,overcast clouds
120,Cherskiy,RU,68.75,161.3,-24.14,86,100,6.2,overcast clouds
121,Barrow,US,71.2906,-156.7887,3.2,85,40,18.41,haze
122,Marsala,IT,37.7966,12.4352,57.99,76,75,18.41,broken clouds
123,Yarensk,RU,62.1675,49.0916,3.29,93,100,8.3,snow
124,Kapit,MY,2.0167,112.9333,74.32,91,100,0.87,overcast clouds
125,Minas,UY,-34.3759,-55.2377,80.01,73,0,16.11,clear sky
126,Conceicao Do Araguaia,BR,-8.2578,-49.2647,75.99,83,64,1.25,broken clouds
127,Leshukonskoye,RU,64.8989,45.7622,1.74,93,100,8.72,light snow
128,Vao,NC,-22.6667,167.4833,75.83,80,88,25.9,overcast clouds
129,Mahebourg,MU,-20.4081,57.7,77.0,88,40,3.44,scattered clouds
130,Tuy Hoa,VN,13.0833,109.3,68.47,88,32,4.56,scattered clouds
131,Airai,TL,-8.9266,125.4092,68.79,88,95,2.44,overcast clouds
132,Takefu,JP,35.9039,136.1669,42.8,87,75,12.66,light rain
133,Ihosy,MG,-22.4,46.1167,70.11,91,99,5.73,overcast clouds
134,Punta Alta,AR,-38.8759,-62.0736,86.41,38,19,16.33,few clouds
135,Manokwari,ID,-0.8667,134.0833,81.86,69,90,1.79,overcast clouds
136,Yumen,CN,40.2833,97.2,18.21,83,100,26.17,overcast clouds
137,Shashi,CN,30.3072,112.2447,44.01,89,45,7.56,scattered clouds
138,Mantua,IT,45.1667,10.7833,39.0,97,42,3.0,scattered clouds
139,Kaitangata,NZ,-46.2817,169.8464,65.01,50,87,18.45,overcast clouds
